feature_name,idf_weights
guarana,8.313553665
gstcouncil,8.313553665
grow,8.313553665
groom,8.313553665
grip,8.313553665
grief,8.313553665
greeting,8.313553665
greeted,8.313553665
greenlight,8.313553665
greenfoundation,8.313553665
greatplacetowork,8.313553665
goof,8.313553665
goodwill,8.313553665
heartening,8.313553665
germ,8.313553665
gifting,8.313553665
giant,8.313553665
ghola,8.313553665
ghaziabad,8.313553665
gharibkalyanyojana,8.313553665
getvaccienated,8.313553665
getback,8.313553665
gesture,8.313553665
georgia,8.313553665
goodnight,8.313553665
georgefloyd,8.313553665
genuine,8.313553665
genomic,8.313553665
genius,8.313553665
genetic,8.313553665
generator,8.313553665
generating,8.313553665
generates,8.313553665
giggling,8.313553665
gila,8.313553665
gile,8.313553665
gilgitbaltistan,8.313553665
goodnews,8.313553665
gong,8.313553665
gom,8.313553665
golf,8.313553665
gold,8.313553665
goanewsdaily,8.313553665
goagovt,8.313553665
glut,8.313553665
glucose,8.313553665
gloria,8.313553665
glimpse,8.313553665
glass,8.313553665
glangshangnized,8.313553665
glad,8.313553665
gina,8.313553665
gin,8.313553665
gimmick,8.313553665
gulf,8.313553665
gullible,8.313553665
gunasena,8.313553665
harvesting,8.313553665
havana,8.313553665
haunt,8.313553665
hatha,8.313553665
hater,8.313553665
hassle,8.313553665
hasselhoff,8.313553665
hassan,8.313553665
hashtag,8.313553665
harshavardhan,8.313553665
gunna,8.313553665
harrassment,8.313553665
harness,8.313553665
harmful,8.313553665
harland,8.313553665
haripurdhar,8.313553665
hari,8.313553665
harharmahadev,8.313553665
hardware,8.313553665
havel,8.313553665
havoc,8.313553665
hay,8.313553665
hayat,8.313553665
hearted,8.313553665
healthylife,8.313553665
healthyfood,8.313553665
healthworkers,8.313553665
healthtech,8.313553665
healthministry,8.313553665
healthminister,8.313553665
healthintelligence,8.313553665
healthcareworkers,8.313553665
healthcannotwait,8.313553665
healer,8.313553665
heal,8.313553665
headway,8.313553665
headquarters,8.313553665
headed,8.313553665
hcghospital,8.313553665
hayathospital,8.313553665
hardtoreach,8.313553665
hardens,8.313553665
hardcopy,8.313553665
halt,8.313553665
halla,8.313553665
haina,8.313553665
hail,8.313553665
hah,8.313553665
haematuria,8.313553665
hadan,8.313553665
hada,8.313553665
hacked,8.313553665
habitant,8.313553665
habislah,8.313553665
haar,8.313553665
ha,8.313553665
gynecology,8.313553665
gutshot,8.313553665
gut,8.313553665
gurugramrise,8.313553665
gunny,8.313553665
halon,8.313553665
hamate,8.313553665
harayein,8.313553665
hamish,8.313553665
happyyogaday,8.313553665
happyweekendguys,8.313553665
happymorning,8.313553665
happybee,8.313553665
happ,8.313553665
haphazardly,8.313553665
hanumanjayanti,8.313553665
hansraj,8.313553665
hanoi,8.313553665
hanno,8.313553665
hangar,8.313553665
handwashing,8.313553665
handphone,8.313553665
handled,8.313553665
handjob,8.313553665
hammer,8.313553665
hammam,8.313553665
indiangovernment,8.313553665
indianvariant,8.313553665
indiatvlive,8.313553665
kidding,8.313553665
kindness,8.313553665
kindle,8.313553665
kinda,8.313553665
killer,8.313553665
kiling,8.313553665
kilanthangal,8.313553665
kihineh,8.313553665
kidsvaccine,8.313553665
kicking,8.313553665
kesihatan,8.313553665
kicked,8.313553665
kickback,8.313553665
khong,8.313553665
khidmatmainsabsayaagaysindh,8.313553665
khi,8.313553665
kharghar,8.313553665
khamenie,8.313553665
kevreports,8.313553665
kingpin,8.313553665
kip,8.313553665
kir,8.313553665
kirlian,8.313553665
koralawella,8.313553665
kong,8.313553665
