,Text
134,"Spring is here when we can dine out and catch movies freely, of cox with our mask and safe distancing in place :) 

.

.

.

Crafted with the extracts of Japanese Sakura and fresh plum concocted with the golden ratio… https://t.co/3x6x6DEt1l"
135,Who abandon caution put themselves @ country at risk is not the citizens but the government that wanted to do the elections during this bad pandemic and don’t blame others if they never observed safe distancing 🙂✌🏻 https://t.co/QQ7xPPxyWQ
136,"Today’s early #morning Phase 2 #letstakeawalk 2 - girls and boys split into two groups for safe distancing . (Yes, the masks went right back on after.) We were blessed with nice weather for today’s 10 km #walk and… https://t.co/N2Ih77oJBe"
137,Safe distancing at hawker centre is becoming a challenge as the crowd return. Many people still do not have the habit of returning trays making it a challenge for hygiene to be in place on the tables. #Singapore #COVID19
138,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/tqIcB3YZHF"
139,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/0NF54OHofT"
140,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/q2e50Xyrxg"
141,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/H3vZ7T62FZ"
142,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/9a3ZScOpaG"
143,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/YauQFZACNb"
144,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/BuuC4Hqlq7"
145,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/Zv8tAV0JQZ"
146,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/mb6c8mFWOM"
147,"Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks
https://t.co/jYlx59HiGw
3281958318517249/?d=n
#GRACIOUSsociety ❓
#优雅社会… https://t.co/ZNN8MqQUy5"
148,"Thank you so much for sharing Joanne, so happy you're happy :)
One of my favourite stories of Singapore is this piece; 'Happy Hour'. 
Happy weekend and a perfect time for posting.. Stay safe with social distancing… https://t.co/1rSGk9rILm"
149,"Thank you so much for sharing Joanne, so happy you're happy :)
One of my favourite stories of Singapore is this piece; 'Happy Hour'. 
Happy weekend and a perfect time for posting.. Stay safe with social distancing… https://t.co/d8K8hb1fZA"
150,"The waiting game continues... #GE2020 polling hours extended to 10pm. (here’s our team at West Coast, being conscious of safe distancing too 😂) https://t.co/YDdVgCy5Hx"
151,I believe this is the first time ELD had extended the voting time hours to 10pm. This is unprecedented due to the COVID 19 and safe distancing measures. #ge2020
152,"#SingaporeElection

Very well organised Polling Day.

It took 2 minutes to cast a vote.

Hand gloves and sanitizer is provided.

Safe Distancing measures are being followed.

Temperature is being taken.

Well done.

#singaporege2020  #SingaporeVotes #Elections2020 https://t.co/5eAvw9doWs"
153,"Meet The Temple’s strict Safe Distancing Ambassador who will throw his shield at you if you venture too close.
Meanwhile, our new Phase II class schedule is out: https://t.co/ZlPkkZw2CE… https://t.co/hI2aZXC3fb"
154,Safe distancing = fail. Contact tracing = fail. Prioritisation of public health versus superfluous issues = fail. https://t.co/QsrcfuXRY8
155,"i swear the double standards are annoying. group of more than 5 non complying to safe distancing measures will get fined, but all these PAP rallies and walkabouts going on????¿"
156,"At the mid of Pandemic.
3 reminders. 
Wear Mask
Safe Distancing
Wash hands

#covid19
#tskrealtor"
157,@tzehern_ SDA - Safe Distancing Ambassador
158,My girlfriend and I was lining up for Swensons at about 8:35pm we saw that there was a barrier in place in the queue entrance. But we assumed that it was because of the safe distancing measures. We didn’t know they were stopping queues at 8:30am. One of the managers came to us..
