,Text
159,"My most favourite photograph from lockdown 2020.

#nature #NaturePhotography #macrophotography #bees @MacroHour #guelph #lockdown https://t.co/VHBN4VwJMQ"
160,You won’t even strictly lock down your tits. https://t.co/7jlOnwGkPk
161,@yukkei_x @abinar Right? This lockdown is clearly not working - they need to put a stop to international travel for one.
162,"Amazing seeing our now-10 year old’s attitude improve after playing Fortnite with a friend online for the first time. 
Lockdown sucks and is important; and social video games can help kids."
163,"@HawleyMO #ShowMe ....

#WearAMask #Coronavirus #SocialDistanacing #DistanceLearning #Outbreak #Pandemic #Quarantine #Lockdown #Missouri"
164,Second time out since March lock down! Love the fireplace! https://t.co/dGgpzdpB2V
165,@FarahNasser With all respect but we should focus on why after many weeks of lockdown numbers are still going up !!!! People on LTC are still dying .
166,"BETTER DAYS MUSIC VIDEO (SHORT FILM) DROPPING JANUARY 8TH, 2021, YALL READY? SHOW SOME LOVE 😁❤️ #wednesdaythought #lockdown #kobie #artist #newmusic #musicvideo #betterdays #kobiemusic #trending https://t.co/0TQV6L5DwN"
167,@flammtap And during a lockdown!
168,@KekeHarding LOL all the lockdown weight 🙃 it’s annoying. I can’t even take one of them off that’s how bad it is.
169,Seriously can we just not have another #episode of #lockdown and #afraid https://t.co/BNkDHGSlHl
170,"Thinking of going somewhere sunny. It's ok for the finance minister to do it, so why not. 3k cases in Ontario. Super awesome lockdown #COVID19Ontario"
171,“Having another lockdown was really annoying because I’ve already watched all of Netflix” 😂😂  #deathto2020
172,"Would the Toronto Sun say this is proof that the lockdown is useless and we should give up on it, and that people should give Tory a break because it’s not illegal to travel out of the country? No. They would be asking for his head on a pike"
173,Thought experiment: let’s say John Tory went on a holiday vacation to St Barts during a city-wide lockdown and filmed Twitter videos where he pretended he was in Toronto for Christmas. And got caught. What would Doug Ford say? What would the Toronto Sun say? https://t.co/7RzUqughmR
174,@Horanshappypill I wish we would have a lockdown 2.0 🙃🙃
175,Of course my califlower pizza landed upside down so I'd have to throw it out. The one I biked in the rain to go buy for a treat during our lockdown. #2020
176,Travis &amp; Williamson Counties In Texas and @MayorAdler the HYPOCRITE FOOL wants to Lockdown Travis County for NINE PERCENT 9% of the patients being admitted for Covid!!! HOW DISGUSTING...#RecallSteveAdler NOW!!! https://t.co/eIKIzJsua1
177,@WilliamBHoenig @lnn1910ann @gurkle2 There are still non expert people selling the idea. That’s why I shared the Thailand thing yesterday. I remember when Thailand was the example of “controlling COVID” and now Bangkok is going back into lockdown
178,6 week lockdown us please!
179,#BREAKING: All Department of Corrections (DOC) facilities will immediately enter into lockdown status because of a recent increase of COVID-19 cases among staff. #ARnews https://t.co/Q9xqjtwB7Z
180,"@chir4y I don’t think anyone is debating whether or not people are dying it’s very evident we see it everyday. It was him mentioning “but y’all think a lockdown is the worst thing.” At the beginning of the pandemic, more people were dying by suicide from being on lockdown."
181,@kingsleymalo Yes but his Boss also knew for last two weeks continued to tell us to stay home avoid family and friends lock down the province while one of his cronies was enjoying some well deserved time off what about our healthcare workers that have been over whelmed for months. @fordnation
182,So @fordnation knew two weeks ago about Phillips. Thy should both resign now. https://t.co/uzmyCl7tNT #onpoli #WhereIsDougFord #lockdown #COVID19Ontario #FordFailedThePeople #VoteFordOut2022
183,"Before they announce a lockdown, I had a hotel stay up north booked for the family.

Gave it some thought, cancelled the trip, stayed home, all to do my part.

#NotThatHard #homeforchristmas"
184,"Really, two weeks on the beach must be nice and now two weeks in quarantine on the taxpayers dime! And we are in lockdown in Ottawa, go figure! https://t.co/D9cJVzuDKy"
185,prog·nos·ti·ca·tion 🔮🥠. On January 9th there will be another lockdown. https://t.co/B8GquJbRIl
186,"I can't go back home to the Caribbean to visit with family I haven't seen in a couple years, but it's ok for Rod to bask in the sun on a beach during the lockdown. 

Cool.

#COVIDIOT #RodPhillipsResign https://t.co/oas4v3oHJZ"
187,Things I’ve learned in lockdown: life is too short for weak chip clips.
188,@SaintYamz @ABC You must work from home ? All the communist states are on lockdown !
189,bitches be like “shoot your shot” then start playing lock down defence.
190,After checking my bank account from Orlando im putting myself on complete lock down
191,"It was a pleasure to talk with @valentevariety the other day about music and lockdown.

Check it out here

https://t.co/ARUbh2ueUM https://t.co/IJAMyPfvGw"
192,We're all still in lockdown but kids can go back to brick and mortar schools as of Jan 11?  I'm confused https://t.co/SzsoWD1X59
193,"@CP24 @fordnation you sir, should be ashamed.  You’re making a mockery of all of us who are staying home.  #lockdown doesn’t apply to the privileged eh...."
