,Text
151,Happy National Day! Happy 56th Birthday Singapura.. Hope you'll be nicer to the citizens 😁Stay safe! everyone !Keep your masks on! Hope everyone enjoyed the long weekend! Back to work tomorrow 🤓 https://t.co/BXZdP0Y2Bg
152,@QweenDoge They would probably find the cure for cancer before we could find our own masks.
153,all i see is groups of more than 5 without masks on everywhere
154,@lisamairhealth @lamda @DrPeterMoloney What youre saying is that no masks dont work at all? Not even in reducing transmission by 10-20%? Do you feel like this is some large global conspiracy by Big Mask? I dont quite understand the objection.
155,"@DrEricDing I asked my mom to cover full face with wet cloth layer as exterior during peak in INDIA &amp; 2 masks underneath. She needed to get vaxed. Vaxx centers became super spreader venues. 
Please stop the BS of washing hands. Ths aticle is published in Mar'20. https://t.co/fTACQ709DG"
156,Son says the masks the US swimmers put on resemble dog muzzles #Olympics2020 #Tokyo2020
157,"Finding ways of picking up masks that are left behind.

寻找方法捡拾留下的口罩。 https://t.co/7XU35mEiyf"
158,@BuffaloBills Wahhh! Masks! Wahhh! Vaccine! Wahh....bunch of fxcking babies...hope this dude gets cut
159,"SF Bay Area and, well, US friends - please read this entire string. Now that you've enjoyed a bit of your summer, please wear masks as the norm and if unvaccinated, get vaccinated now! https://t.co/7UilapbzQL"
160,not my team putting in over 1k of OUR OWN MONEY into our film project only for the sch to tell us our actors need to wear masks 😐😐 it's like moe only cares about how covid will affect jc kids and not poly students
161,"@BTSNoonaaa Definitely still here! In my part of the world we are looking in horror at how people in some countries ditch masks, congregate in huge numbers for sports events, refuse to get vaccinated, thinking that the battle is won. I get pandemic fatigue but it's too early to celebrate"
162,"@finbarvano @Rogerasalways Kids in Singapore have been wearing masks for over a year-as have other nations. But, people like DeSantis know best. Parts of America are just mind boggling 🤷‍♂️"
163,#Tokyo2020 Kyrgyzstan and Tajikistan were the only teams defying the norm and not wearing masks in Tokyo! They were perhaps following the Wimbledon e
164,Just to be clear … I miss the energy not the stupidity of not wearing the masks 😷. They are adults and no amount of awareness is teaching them to protect themselves and the people around them 🤷‍♀️
165,Grappling for 15 minutes with masks on totes sounds like someone’s kink at whichever agency came up with this. https://t.co/dHbEJ6YqRf
166,Alhamdullilah  Received second COVID-19  vaccine shot. I have to admit the second shot is a tad painful .. 🤓Sitting at the observation area for 30 mins .. I think we’re getting face masks free 😁 https://t.co/VbbE4Rg2BF
167,"Yes. Allow us to travel. Just make sure ada social distancing, wear face masks, use hand sanitizer and so on. Nak tunggu vaccine ni sampai hujung tahun pun belum tentu dapat🖕 https://t.co/YTmt3deLlo"
168,@smoonjuice @redruby17 Masks are a surprisingly bearable burden for freedom.
169,"They said we ‘encourage masks’, which is just being publicly responsible &amp; thinking of those that don’t have a choice right now. It’s a small token but could mean an awful lot to someone else. https://t.co/NcBsqiFI0o"
170,@ps92264 All the texas democrats leaving. Masks on! https://t.co/DvKmz0O5LB
171,"So, if we end up moving back to California early next year from SG, the kids will still be required to wear masks in schools even though CDC says not needed if fully vaccinated????? WTF"
172,"The “immunity debt” phenomenon occurs because measures like lockdowns, hand-washing, social distancing and masks are not only effective at controlling Covid-19. They also suppress the spread of other illnesses that transmit in a similar way, including the flu, common"
173,myb its not them. the masks arent helping
