,Text
128,"Omicron sub-variant BA.2 harder to identify, found in 5 African nations: WHO https://t.co/8Qx1ziWHWr https://t.co/vNPPPWoLms"
129,"China’s impossible battle: As omicron hangs over the Winter Games, @cidrap’s @mtosterholm warns of the 3 perfect-storm factors to foil zero-COVID

https://t.co/6BiSk9gOlO"
130,"That day spread covid .

But that is very SUS.. 

Every mild symptom I have is maybe covid Omicron

Should I boost myself???"
131,"It's has been 4 days since my family visit 

So far no major flare up or Omicron symptom appearing

We did our ART test before visiting

But we made some risky decision as we went to temple first which has some crowds 

So far so good.. 4 days Liao so cannot really blame"
132,"Kasus Omicron Meningkat, Sekolah SD dan SMP di Batam Masih PTM 100 Persen https://t.co/HYBbhMKRCV"
133,South Africa sees rise of Omicron sub-variant cases https://t.co/nFJcwwm8Ni https://t.co/n7302KwEqQ
134,"Ambil tahu.
Cadangan langkah pencegahan penularan varian Omicron menurut World Health Organization.

#MenangBersama
#LindungDiriLindungSemua
#KeluargaMalaysia https://t.co/iyWRQemIfs"
135,"Employers should review BCPs, reward those who cover for colleagues in potential Omicron surge: MOM, NTUC, &amp; SNEF https://t.co/tWcMHs1tNS https://t.co/2gQ9vo9CkP"
136,"Hidup akan terus berjalan. Ga mungkin tunggu pandemi berakhir baru bisa ikut turnamen. Mau tunggu sampai kapan? Jadi menurut ku walau ada omicron, omi kampret. Turnamen badminton akan berjalan normal tahun ini."
137,Indonesian government urged to mandate hybrid learning for all amid Omicron; anxious parents keep kids at home https://t.co/d6zeb89Lef https://t.co/LIOLgzx02B
138,takud omicron hiks https://t.co/KmGf7HXwf0
139,Booster sebenarnya untuk kurangkan kadar jangkitan omicron atau kurangkan kadar kemasukan ke hospital bagi varian omicron? Benda ni kena jelaskan kepada rakyat. Ramai tangguh ambil booster sebab keliru termasuklah aku ni haaa. https://t.co/VLJi6EjUOX
140,"Employees should prepare to work longer hours to cover colleagues as Omicron cases spike: tripartite advisory; employers of certain essential-services workers can also consider applying for exemptions from overtime limits, it said. https://t.co/2e1Qvo6jEb https://t.co/jGkzS4IaKk"
141,"@OposisiCerdas Ga usah sok2an omicron pula kau mui,ikut2 si lubut kau ya?"
142,@501Awani Apa kaitan booster dengan omicron jika kesan omicron tidak teruk? Adakah booster hanya untuk mengurangkan peratusan jangkitan omicron? Rasanya dulu bagitau booster untuk kurang kadar kemasukan ke hospital bagi varian omicron. Siapa siapa boleh jelaskan? Terima kasih.
143,"@musniumar Emang bisa hanya dgn Antigent mengetahui hasil positif Omicron ?? 

Canggih juga ya ? 😟"
144,"The rising number of COVID-19 cases due to Omicron variant is overwhelming. As businesses are reopening, precautions are urgently needed so the workforce is not affected. Here is how to do it: https://t.co/O9m5IxHuhd

#COVID19 #COVID19Prevention #OmicronVariant #COVID19Omicron"
145,The understanding of the #Omicron variant grew considerably. @WHO sorts out some facts from myth about it: https://t.co/rATN3Nf45o
146,"Omicron may have gone from mice to men, say Chinese scientists https://t.co/5gPC35wmGJ https://t.co/TtIJA7fbj1"
147,"If Malaysia boleh overcome case covid harian yg ribu ribu ni sebab omicron or apa apa la,and kalau majority cases gejala 1 and 2 kenapa tak isytihar as endemik? org pun akan kurang takut jugak kot dengan number of cases yg makin hari makin nk dekat 10k ni😑. #my2cents"
148,"I am sure those film critics can make a same movie and earn twice as much 
This number is impressive considering Peak Omicron 
It's helps the whole local cinema industry to be honest https://t.co/mKmEZPWX4H"
149,Employees shoud prepare to work longer hours to cover colleagues as Omicron cases spike: Tripartite advisory https://t.co/ClccWHSfxo
150,"@MAWG42 @GaryLineker “In South Africa, where Omicron was first detected, molnupiravir has been taken in both ideal and non-ideal conditions.”"
151,Japan's serious Covid-19 cases climb to 4-month high as Omicron fuels record infections https://t.co/IpaKBMcddw
152,"@bencsin The diff really is bizarre. Sure some Asian countries hv had recent spikes bc of omicron but even then the death count has been very low. Hardly ever reaching the three digit mark, let alone two digit one on most occasions."
153,"@yoongkhean My own cousin is thinking maybe his kids (8 &amp; 11) can do without because ""omicron isn't as severe for kids"" while his wife would rather be safe"
154,"Gejala Positif Omicron yang Tidak Disadari Masyarakat, Apa Saja? https://t.co/ujw80TUVIf"
155,"Singapore firms confident despite #Omicron wave, plan to make #HybridWork permanent 

LetsTalkCity #Singapore #Business
#SoutheastAsia  
https://t.co/8QS75fBdDm
Gena Soh | Rosalind Ang 
Via https://t.co/bAYTFRCIJn https://t.co/Ejmfcjebzw"
156,"""Even though the Omicron peak is probably not upon us, I think we can roll back many of the measures in place. Especially the silly ones like blocking off half the washbasins in public toilets."" https://t.co/CQxZOyBEyQ"
157,@q_obz can get infected but not reinfected i got infected by delta covid already but still can get the omicron if i don't take care myself. Yes lessen and very fast to recover so gun 5 to 6 days he will be ok.
158,South Korea extends social distancing rules as Omicron Covid-19 cases spike https://t.co/WOqeEZeDiv
159,"Singapore firms confident despite #Omicron wave, plan to make #HybridWork permanent 

LetsTalkCity #Singapore #Business
#SoutheastAsia  
https://t.co/sneWGiLd4P
Gena Soh | Rosalind Ang 
Via https://t.co/2Z7la1sMpd https://t.co/JorMiYM9WJ"
160,"Getting my booster shot today, so here’s the plan:

\ Get Pfizer booster shot.

\ Parachute into the HQ of WHO to deliver the decapitated head of Omicron. 

\ Facilitate truce between Autobots and Decepticons.

\ Commission a composer on Fiver to write my national anthem."
161,Omicron dapat disembuhkan tanpa harus ke rumah sakit https://t.co/BQq9dB4TYn
162,South Korea extends social distancing rules as Omicron cases spike https://t.co/3MtwPUHuJv https://t.co/R9nweVGlpo
163,"@John37018746 Unfortunately we don’t have follow up data as milk collection has ended, but looking at the trend, antibody levels will be low after 6 weeks. We don’t have omicron data as study was done before it emerged in Singapore, but can probably expect significantly reduced binding"
164,South Korea extends social distancing rules as Omicron Covid-19 cases spike https://t.co/OldCsUY45P
165,"S'pore firms confident despite Omicron wave, plan to make hybrid work permanent
#jobs #career #Singapore
https://t.co/6L80lJxnc4"
166,"How worried should we be about the new 'stealth' Omicron? Our expert weighs in

https://t.co/896k79cy3T"
167,"S'pore firms confident despite Omicron wave, plan to make hybrid work permanent https://t.co/Su2VOyem7T"
168,"Waspada Omicron gubernur Riau minta RS rujukan pastikan stok obat

Prokes Lindungi Keluarga https://t.co/ScOBsdTbGq"
169,"A fascinating read in Nature Portfolio discussing theories of how the Omicron variant emerged along with evidence that supports or goes against each theory.

For those of you who don't have time to read the article, the three theor…https://t.co/ALWXuvEZxg https://t.co/GXoGlMTt8h"
170,"Hybrid work permanent, permanent. Got shadow or not!!?

Singapore firms confident despite Omicron wave, plan to make hybrid work permanent https://t.co/NREQeQ9kpy"
171,Gejala pasien Omicron alami nyeri dan gatal tenggorokan https://t.co/FaBxyqXCET
